text,target
"procurement officer malawi energy regulatory authority mera","Business & Management"
"chief operations officer lifeco life insurance company","Finance & Economics"
"finance officer pyxus agriculture limited","Finance & Economics"
"project officer green livelihoods gl","Business & Management"
"research assistants kamuzu university of health sciences","Education & Research"
"site supervisor kamuzu university of health sciences","Technology & Engineering"
"research nurse 3 positions kamuzu university of health sciences","Healthcare & Life Sciences"
"research nurse intern 2 positions kamuzu university of health sciences","Healthcare & Life Sciences"
"booster study mac-cdac -various positions kamuzu university of health sciences","Healthcare & Life Sciences"
"senior maintenance manager malawi fertilizer company","Technology & Engineering"
"stores manager malawi fertilizer company","Logistics & Operations"
"security guard x2 gardener x2 mbwabwa holdings","Legal & Security"
"human resource officer youth initiative for community development-malawi","Business & Management"
"resource mobilisation officer youth initiative for community development-malawi","Business & Management"
"accounts assistant youth initiative for community development","Finance & Economics"
"it applications administrator enterprise services telekom networks malawi plc","Technology & Engineering"
"account relationship manager telekom networks malawi plc","Finance & Economics"
"field officers x3 hunger project malawi","Healthcare & Life Sciences"
"epicenter project officers x2 hunger project malawi","Business & Management"
"project accountant hunger project malawi","Finance & Economics"
"senior grants officer hunger project malawi","Finance & Economics"
"grants partnerships and advocacy coordinator hunger project malawi","Social Sciences & Humanities"
"legal practitioner kalekeni kaphale lawyers","Legal & Security"
"multiple positions hunger project malawi hunger project malawi","Other"
"business enterprise services director amg global","Business & Management"
"aircraft maintenance technicians malawi airlines limited","Technology & Engineering"
"monitoring evaluation learning and membership coordinator civil society education coalition csec","Education & Research"
"accountant civil society education coalition csec","Finance & Economics"
"multiple positions infracon limited infracon limited","Other"
"member service officers msilikali sacco","Finance & Economics"
"business strategy officer msilikali sacco","Business & Management"
"multiple positions partners in hope proffessional positions partners in hope pih","Other"
"multiple positions partners in hope pih partners in hope pih","Other"
"administration and finance assistant unv ltd","Business & Management"
"child protection technical coordinator save the children","Social Sciences & Humanities"
"multiple positions machinga district council machinga district counc","Other"
"case management clinical linkages specialist project hope","Healthcare & Life Sciences"
"ovc program officer project hope","Social Sciences & Humanities"
"social welfare officer project hope","Social Sciences & Humanities"
"community linkages coordinator x25 project hope","Healthcare & Life Sciences"
"monitoring evaluation learning mel specialist project hope","Education & Research"
"district monitoring evaluation and learning mel officer x8 project hope","Education & Research"
"assistant mel officer x16 project hope","Education & Research"
"temporary drivers x5 electricity supply corporation of malawi escom","Logistics & Operations"
"electrician realsim","Technology & Engineering"
"plumber realsim","Technology & Engineering"
"manager business standard bank plc","Finance & Economics"
"research nurse malawi liverpool wellcome trust","Healthcare & Life Sciences"
"finance manager malawi liverpool wellcome trust","Finance & Economics"
"senior hr services coordinator malawi liverpool wellcome trust","Business & Management"
"safety officer burn","Legal & Security"
"full stack developer inga","Technology & Engineering"
"funded traineeship for young graduates at the eu delegation to malawi european external action service eeas","Other"
"pharmacist mch investments limited","Healthcare & Life Sciences"
"operations officer tmm","Business & Management"
"multiple positions salima sugar company ltd salima sugar company ltd","Other"
"agriculture manager salima sugar company ltd","Environmental Sciences"
"service engineer salima sugar company ltd","Technology & Engineering"
"mechanical engineer salima sugar company ltd","Technology & Engineering"
"receptionist salima sugar company ltd","Business & Management"
"marketing manager salima sugar company ltd","Business & Management"
"public relations officer salima sugar company ltd","Social Sciences & Humanities"
"procurement specialist salima sugar company ltd","Business & Management"
"ict manager salima sugar company ltd","Technology & Engineering"
"warehouse manager salima sugar company ltd","Logistics & Operations"
"ehs specialist jti japan tobacco international","Legal & Security"
"administrative assistantdriver mphunzitsi sacco","Business & Management"
"chief laboratory technician pirimiti hospital","Healthcare & Life Sciences"
"farm manager precision recruitment international","Environmental Sciences"
"chefs and housekeepers ulemu bus services ubs","Logistics & Operations"
"front office staff ulemu bus services ubs","Business & Management"
"international bus drivers ulemu bus services ubs","Logistics & Operations"
"human resource officer ulemu bus services ubs","Business & Management"
"operations supervisor ulemu bus services ubs","Business & Management"
"multiple positions ulemu bus services ubs ulemu bus services ubs","Other"
"senior manager technology and digital transformation tony blair institute for global change","Technology & Engineering"
"operations and security coordinator maternity cover tony blair institute for global change","Legal & Security"
"terms of reference for baseline study of the project girls initiative for resilient learning and support in malawi rwanda and zambia oxfam","Education & Research"
"administrative assistant galloway co","Business & Management"
"farm workshops manager precision recruitment international","Environmental Sciences"
"training coordinator spark microgrants","Education & Research"
"district coordinators nutrition international","Healthcare & Life Sciences"
"research assistant unc project","Education & Research"
"consultancy to facilitate the development of a monitoring and evaluation framework for communications and public engagement department malawi liverpool wellcome trust","Education & Research"
"operations manager savanna finacial services","Finance & Economics"
"assistant financial accountant public procurement and disposal of assets authority","Finance & Economics"
"finance officer unitrans malawi limited","Finance & Economics"
"pharmacist wholesale pharmaexpress","Healthcare & Life Sciences"
"civil engineer amg global","Technology & Engineering"
"operations manager administration marymount catholic secondary school","Education & Research"
"administrative assistant umunthu plus","Business & Management"
"administrative assistant umunthu plus","Business & Management"
"loan officers united civil servants sacco","Finance & Economics"
"technical advisor social protection giz","Business & Management"
"technical advisor for endev giz","Energy & Environment"
"renewable energy project manager green power africa","Energy & Environment"
"solar systems installation technician suntech solutions","Energy & Environment"
"environmental impact assessment officer ministry of natural resources","Energy & Environment"
"procrument supervisor plasticycle ltd","Business & Management"
"head of strategy data digital old mutual","Technology & Engineering"
"marketing and sales intern kuwala travel and tours ltd","Logistics & Operations"
"finance officer spark microgrants","Finance & Economics"
"temporary software developer elizabeth glaser pediatric aids foundation","Technology & Engineering"
"loan officer lolc finance limited","Finance & Economics"
"research fellow university of malawi","Education & Research"
"electronics informatics intern university of malawi","Technology & Engineering"
"laboratory technician um 10 university of malawi","Healthcare & Life Sciences"
"call for applications for internship positions re-advertised university of malawi","Education & Research"
"human resources manager readymix concrete company","Business & Management"
"intern administrative assistant synergy capital partners","Business & Management"
"chief executive officer teachers council of malawi tcm","Education & Research"
"director of compliance services teachers council of malawi tcm","Legal & Security"
"coordinator for basic education church of central africa presbyterian ccap","Education & Research"
"production manager choice products limited","Technology & Engineering"
"office assistantmessenger agricultural research and extension trust aret","Business & Management"
"motor vehicle driver agricultural research and extension trust aret","Logistics & Operations"
"financial accountant agricultural research and extension trust aret","Finance & Economics"
"general manager property old mutual","Business & Management"
"courier manager agma holdings limited","Logistics & Operations"
"finance officer agma holdings limited","Finance & Economics"
"marketing sales officer ccap nkhoma synod","Business & Management"
"operations officer ccap nkhoma synod","Business & Management"
"junior accountant central poultry 2000 ltd","Finance & Economics"
"leaf processing supervisor jti japan tobacco international","Technology & Engineering"
"malware analyst officer malawi communications regulatory authority macra","Technology & Engineering"
"legal enforcement manager malawi communications regulatory authority macra","Legal & Security"
"security and safety manager malawi communications regulatory authority macra","Legal & Security"
"information communication technology ict manager malawi communications regulatory authority macra","Technology & Engineering"
"management accountant malawi communications regulatory authority macra","Finance & Economics"
"economics regulation manager malawi communications regulatory authority macra","Business & Management"
"intern compliance officer edukans","Legal & Security"
"strategic process support volunteer edukans","Social Sciences & Humanities"
"driveroffice assistant edukans","Logistics & Operations"
"driver winrock international","Logistics & Operations"
"call for pre-phd internship applications stremm project malawi liverpool wellcome trust","Education & Research"
"call for pre-phd internship applications impact-malawi project malawi liverpool wellcome trust","Education & Research"
"information technology manager centenary bank","Technology & Engineering"
"network support officer centenary bank","Technology & Engineering"
"driver linde hotel","Logistics & Operations"
"administrative assistant maya private school","Education & Research"
"junior accountant plasticycle ltd","Finance & Economics"
"program manager disabled women in africa - diwa","Social Sciences & Humanities"
"engineering shift controller mechanical alliance one tobacco malawi limited","Technology & Engineering"
"green leaf services superintendent alliance one tobacco malawi limited","Environmental Sciences"
"field officer x2 fincoop savings and credit cooperative limited","Finance & Economics"
"accountant angsoma development commission","Finance & Economics"
