text,target
monitoring evaluation learning and membership coordinator civil society education coalition csec,Monitoring & Evaluation
accountant civil society education coalition csec,Accountancy
multiple positions infracon limited infracon limited,Multiple Roles
member service officers msilikali sacco,Banking
business strategy officer msilikali sacco,Strategic Planning
multiple positions partners in hope proffessional positions partners in hope pih,Multiple Roles
multiple positions partners in hope pih partners in hope pih,Multiple Roles
administration and finance assistant unv ltd,Administration
child protection technical coordinator save the children,Child Protection
multiple positions machinga district council machinga district counc,Multiple Roles
case management clinical linkages specialist project hope,Clinical Care
ovc program officer project hope,Child Protection
social welfare officer project hope,Social Work
community linkages coordinator x25 project hope,Public Health
monitoring evaluation learning mel specialist project hope,Monitoring & Evaluation
district monitoring evaluation and learning mel officer x8 project hope,Monitoring & Evaluation
assistant mel officer x16 project hope,Monitoring & Evaluation
temporary drivers x5 electricity supply corporation of malawi escom,Driving
electrician realsim,Electrical
plumber realsim,Plumbing
manager business standard bank plc,Banking
research nurse malawi liverpool wellcome trust,Nursing
finance manager malawi liverpool wellcome trust,Accountancy
senior hr services coordinator malawi liverpool wellcome trust,Human Resources
safety officer burn,Occupational Safety
full stack developer inga,Software Development
funded traineeship for young graduates at the eu delegation to malawi european external action service eeas,Internship
pharmacist mch investments limited,Pharmacy
operations officer tmm,Operations
multiple positions salima sugar company ltd salima sugar company ltd,Multiple Roles
agriculture manager salima sugar company ltd,Agricultural Management
service engineer salima sugar company ltd,Engineering
mechanical engineer salima sugar company ltd,Mechanical Engineering
receptionist salima sugar company ltd,Administration
marketing manager salima sugar company ltd,Marketing
public relations officer salima sugar company ltd,Public Relations
procurement specialist salima sugar company ltd,Procurement
ict manager salima sugar company ltd,IT Management
warehouse manager salima sugar company ltd,Warehouse Management
ehs specialist jti japan tobacco international,Environmental Health & Safety
administrative assistantdriver mphunzitsi sacco,Administration
chief laboratory technician pirimiti hospital,Laboratory Science
farm manager precision recruitment international,Agricultural Management
chefs and housekeepers ulemu bus services ubs,Catering & Housekeeping
front office staff ulemu bus services ubs,Customer Service
international bus drivers ulemu bus services ubs,Driving
human resource officer ulemu bus services ubs,Human Resources
operations supervisor ulemu bus services ubs,Operations
multiple positions ulemu bus services ubs ulemu bus services ubs,Multiple Roles
senior manager technology and digital transformation tony blair institute for global change,Digital Transformation
operations and security coordinator maternity cover tony blair institute for global change,Security Coordination
terms of reference for baseline study of the project girls initiative for resilient learning and support in malawi rwanda and zambia oxfam,Baseline Study
administrative assistant galloway co,Administration
farm workshops manager precision recruitment international,Agricultural Equipment Management
training coordinator spark microgrants,Training
district coordinators nutrition international,Nutrition
research assistant unc project,Research Assistant
consultancy to facilitate the development of a monitoring and evaluation framework for communications and public engagement department malawi liverpool wellcome trust,Monitoring & Evaluation
operations manager savanna finacial services,Financial Operations
assistant financial accountant public procurement and disposal of assets authority,Accountancy
finance officer unitrans malawi limited,Accountancy
pharmacist wholesale pharmaexpress,Pharmacy
civil engineer amg global,Civil Engineering
operations manager administration marymount catholic secondary school,School Administration
administrative assistant umunthu plus,Administration
administrative assistant umunthu plus,Administration
loan officers united civil servants sacco,Microfinance
technical advisor social protection giz,Social Protection
technical advisor for endev giz,Renewable Energy
procrument supervisor plasticycle ltd,Procurement & Supply Chain
head of strategy data digital old mutual,Digital Strategy
marketing and sales intern kuwala travel and tours ltd,Sales & Marketing
finance officer spark microgrants,Financial Management
temporary software developer elizabeth glaser pediatric aids foundation,Software Development
loan officer lolc finance limited,Microfinance
research fellow university of malawi,Academic Research
electronics informatics intern university of malawi,Electronics & Informatics
laboratory technician um 10 university of malawi,Laboratory Technology
call for applications for internship positions re-advertised university of malawi,Internships
human resources manager readymix concrete company,Human Resources
intern administrative assistant synergy capital partners,Administration
chief executive officer teachers council of malawi tcm,Leadership & Governance
director of compliance services teachers council of malawi tcm,Regulatory Compliance
coordinator for basic education church of central africa presbyterian ccap,Basic Education
production manager choice products limited,Production Management
office assistantmessenger agricultural research and extension trust aret,Office Support
motor vehicle driver agricultural research and extension trust aret,Driving
financial accountant agricultural research and extension trust aret,Accountancy
general manager property old mutual,Property Management
courier manager agma holdings limited,Courier Services
finance officer agma holdings limited,Financial Management
marketing sales officer ccap nkhoma synod,Sales & Promotion
operations officer ccap nkhoma synod,Operations
junior accountant central poultry 2000 ltd,Accountancy
leaf processing supervisor jti japan tobacco international,Processing & Quality Control
malware analyst officer malawi communications regulatory authority macra,Cybersecurity
legal enforcement manager malawi communications regulatory authority macra,Law Enforcement
security and safety manager malawi communications regulatory authority macra,Security Management
information communication technology ict manager malawi communications regulatory authority macra,IT Management
management accountant malawi communications regulatory authority macra,Accountancy
economics regulation manager malawi communications regulatory authority macra,Economic Policy
intern compliance officer edukans,Compliance
strategic process support volunteer edukans,Strategy & Planning
driveroffice assistant edukans,Driving & Support
driver winrock international,Driving
call for pre-phd internship applications stremm project malawi liverpool wellcome trust,Internships & Research
call for pre-phd internship applications impact-malawi project malawi liverpool wellcome trust,Internships & Research
information technology manager centenary bank,IT Management
network support officer centenary bank,Network Administration
driver linde hotel,Driving
administrative assistant maya private school,Administration
junior accountant plasticycle ltd,Accountancy
program manager disabled women in africa - diwa,Program Management
engineering shift controller mechanical alliance one tobacco malawi limited,Mechanical Engineering
green leaf services superintendent alliance one tobacco malawi limited,Agribusiness
field officer x2 fincoop savings and credit cooperative limited,Field Operations
accountant angsoma development commission,Accountancy
